
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 50.908 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.893	5.346	
Aelurodon_asthenostylus	19.049	13.949	
Aelurodon_ferox	21.929	8.628	
Aelurodon_mcgrewi	15.654	10.294	
Aelurodon_montanensis	13.691	13.691	
Aelurodon_stirtoni	19.668	10.71	
Aelurodon_taxoides	22.862	5.217	
Aelurodon_wheelerianus	19.826	19.826	
Alopex	5.283	5.283	
Alopex_lagopus	1.493	0.002	
Archaeocyon_falkenbachi	28.215	28.215	
Archaeocyon_leptodus	32.584	21.815	
Archaeocyon_pavidus	32.941	22.476	
Borophaginae	23.045	6.849	
Borophagus	10.083	2.316	
Borophagus_diversidens	4.593	2.104	
Borophagus_dudleyi	4.867	4.867	
Borophagus_hilli	20.983	2.097	
Borophagus_littoralis	12.924	6.803	
Borophagus_orc	10.008	5.132	
Borophagus_parvus	9.46	6.283	
Borophagus_pugnator	22.596	4.954	
Borophagus_secundus	20.811	5.403	
Caedocyon_tedfordi	26.746	26.746	
Canidae	35.876	0.015	
Caninae	26.073	0.055	
Canini	8.874	1.991	
Canis	14.303	0.001	
Canis_(Pseudalopex)	2.554	0.076	
Canis_adustus	3.216	0.003	extant
Canis_anthus	1.889	0.083	extant
Canis_apolloniensis	2.056	2.056	
Canis_armbrusteri	4.843	0.026	
Canis_aureus	2.722	0.002	extant
Canis_cedazoensis	1.483	1.483	
Canis_dirus	2.425	0.015	
Canis_edwardii	9.351	0.318	
Canis_familiaris	2.414	0.002	extant
Canis_ferox	10.224	2.052	
Canis_latrans	4.456	0.003	extant
Canis_lepophagus	9.927	0.111	
Canis_lupus	3.537	0.001	extant
Canis_mesomelas	4.717	0.002	extant
Canis_proplatensis	2.345	2.345	
Canis_rufus	4.472	0.03	extant
Canis_thooides	3.314	3.314	
Carpocyon	18.766	13.649	
Carpocyon_compressus	21.968	12.035	
Carpocyon_limosus	10.149	5.062	
Carpocyon_robustus	13.054	7.842	
Carpocyon_webbi	15.687	5.644	
Cerdocyon_avius	4.941	3.947	
Cerdocyon_texanus	7.821	3.982	
Cerdocyon_thous	0.092	0.004	
Chailicyon_crassidens	45.171	45.171	
Chrysocyon	1.297	1.297	
Chrysocyon_brachyurus	1.3	0.292	
Chrysocyon_nearcticus	2.436	2.108	
Cormocyon	30.716	30.716	
Cormocyon_copei	28.254	17.885	
Cormocyon_haydeni	29.681	20.482	
Cubacyon_transversidens	1.406	1.406	
Cuon	0.747	0.094	
Cuon_alpinus	0.346	0.1	
Cynarctoides_acridens	27.25	13.864	
Cynarctoides_emryi	18.474	17.982	
Cynarctoides_gawnae	19.744	17.116	
Cynarctoides_harlowi	24.449	24.449	
Cynarctoides_lemur	29.266	20.776	
Cynarctoides_luskensis	24.783	20.478	
Cynarctoides_roii	30.786	23.512	
Cynarctoides_whistleri	18.807	17.936	
Cynarctus	15.282	6.366	
Cynarctus_crucidens	15.266	8.641	
Cynarctus_galushai	15.091	13.645	
Cynarctus_marylandica	19.327	14.229	
Cynarctus_saxatilis	15.887	14.213	
Cynarctus_voorhiesi	12.918	12.259	
Cynarctus_wangi	15.861	15.861	
Cynodesmus_martini	22.198	22.198	
